job_name,岗位划分,最低薪资,最高薪资,平均薪资,薪资等级,最低经验,最高经验,job_edu,学历要求,城市,区,街道,job_company,公司规模
数据开发工程师-中台,数据开发,15000.0,16000.0,15500.0,10k-20k,5.0,10.0,本科,2,上海,浦东,陆家嘴,深圳市睿服科技有限公司,5499.5
Python开发/双休,其他,15000.0,18000.0,16500.0,10k-20k,3.0,5.0,本科,2,广州,海珠,琶洲,深圳市睿服科技有限公司,5499.5
大数据开发工程师（双休+16薪）,数据开发,15000.0,26250.0,20625.0,20k-30k,3.0,5.0,本科,2,上海,浦东,陆家嘴,湖北睿昕智科技有限公司,199.5
数据开发工程师,数据开发,15000.0,17000.0,16000.0,10k-20k,5.0,10.0,本科,2,上海,静安,天目西路,深圳市法本信息技术股份有限公司,5499.5
Python后端开发工程师（数据方向）,后端/全栈,15000.0,16000.0,15500.0,10k-20k,3.0,5.0,本科,2,上海,浦东,张江,深圳建广数字科技有限公司青岛分公司,10.0
后端开发工程师,后端/全栈,15000.0,30000.0,22500.0,20k-30k,3.0,5.0,本科,2,上海,闵行,吴泾,上海奥铁通讯技术有限公司,59.5
Python开发（全额福利）,其他,15000.0,16000.0,15500.0,10k-20k,3.0,5.0,本科,2,上海,浦东,唐镇,深圳建广数字科技有限公司青岛分公司,10.0
Python开发工程师（量化交易系统）,其他,15000.0,25000.0,20000.0,20k-30k,3.0,5.0,本科,2,广州,天河,冼村,讯汇科技,199.5
AI制药-AI全栈开发工程师（企业直聘非外包+python）,后端/全栈,15000.0,25000.0,20000.0,20k-30k,1.0,3.0,本科,2,上海,黄浦,外滩,深度制耀(北京)科技股份有限公司,199.5
数据开发工程师(英文+国际差旅）(J14058),数据开发,15000.0,18000.0,16500.0,10k-20k,0.0,,本科,2,广州,番禺,大石,浩鲸云计算科技股份有限公司,5499.5
大数据开发工程师（短期+周末双休）,数据开发,15000.0,18000.0,16500.0,10k-20k,3.0,5.0,本科,2,广州,天河,冼村,徽通科技集团有限公司,5499.5
Databricks高级数据工程师,数据开发,15000.0,20000.0,17500.0,10k-20k,5.0,10.0,本科,2,广州,海珠,琶洲,深圳市法本信息技术股份有限公司,5499.5
数据工程师（现场面试+不卷+周末双休）,数据开发,15000.0,16000.0,15500.0,10k-20k,3.0,5.0,本科,2,上海,静安,大宁路,上海信息人才服务有限公司,59.5
工业大数据工程师,数据开发,15000.0,30000.0,22500.0,20k-30k,3.0,5.0,本科,2,广州,黄埔,联和,开波特(武汉)人工智能有限公司,59.5
高级开发工程师（数据库运维软件方向）,其他,15000.0,18000.0,16500.0,10k-20k,5.0,10.0,大专,1,北京,通州,永顺,北京虹信万达科技有限公司,59.5
高级大数据开发工程师,数据开发,15000.0,23000.0,19000.0,10k-20k,3.0,5.0,本科,2,北京,西城,金融街,达维信息技术(深圳)有限公司北京分公司,199.5
Python工程师,其他,15000.0,23000.0,19000.0,10k-20k,0.0,,本科,2,北京,丰台,看丹,航天天目(重庆)卫星科技有限公司,59.5
大气模式工程师,其他,15000.0,25000.0,20000.0,20k-30k,1.0,3.0,硕士,3,北京,顺义,,北京莱维塞尔科技有限公司,199.5
金融API开发工程师,其他,15000.0,17000.0,16000.0,10k-20k,5.0,10.0,本科,2,北京,朝阳,建外,上海海万信息科技股份有限公司,5499.5
python开发-（外派-短期项目）,其他,15000.0,16000.0,15500.0,10k-20k,3.0,5.0,本科,2,北京,西城,金融街,北京浩然五洲软件技术有限公司,199.5
AI应用全栈开发工程师（AI人工智能企业直聘非外包）,后端/全栈,15000.0,23000.0,19000.0,10k-20k,1.0,3.0,本科,2,北京,朝阳,,深度制耀(北京)科技股份有限公司,199.5
python开发工程师,其他,14769.23076923077,21230.76923076923,18000.0,10k-20k,3.0,5.0,本科,2,北京,海淀,,北京合正未来科技有限公司,59.5
高级数据治理工程师(J11412),其他,14571.42857142857,21428.571428571428,18000.0,10k-20k,3.0,5.0,本科,2,上海,浦东,陆家嘴,艾兰得,5499.5
spark大数据开发工程师（短期+周末双休）,数据开发,14000.0,18000.0,16000.0,10k-20k,3.0,5.0,本科,2,广州,天河,冼村,徽通科技集团有限公司,5499.5
java数据开发工程师,数据开发,14000.0,18000.0,16000.0,10k-20k,3.0,5.0,本科,2,上海,虹口,北外滩,安徽中安润微科技有限公司,199.5
数据工程师（天津）,数据开发,14000.0,15000.0,14500.0,10k-20k,3.0,5.0,本科,2,广州,越秀,黄花岗,广东南油服务有限公司,5499.5
python后端开发工程师,后端/全栈,14000.0,16000.0,15000.0,10k-20k,3.0,5.0,本科,2,上海,浦东,唐镇,深圳建广数字科技有限公司青岛分公司,10.0
Python开发,其他,14000.0,16000.0,15000.0,10k-20k,3.0,5.0,本科,2,上海,浦东,唐镇,深圳建广数字科技有限公司青岛分公司,10.0
大数据开发工程师,数据开发,14000.0,20000.0,17000.0,10k-20k,1.0,3.0,本科,2,广州,番禺,大石,广州时格科技有限公司,10.0
Python工程师,其他,14000.0,16000.0,15000.0,10k-20k,3.0,5.0,本科,2,广州,天河,冼村,徽通科技集团有限公司,5499.5
python(全额五险一金),其他,14000.0,16000.0,15000.0,10k-20k,3.0,5.0,本科,2,上海,浦东,唐镇,深圳建广数字科技有限公司青岛分公司,10.0
python爬虫工程师,爬虫/采集,14000.0,17000.0,15500.0,10k-20k,3.0,5.0,本科,2,上海,徐汇,龙华,上海策贸科技有限公司,59.5
爬虫工程师,爬虫/采集,14000.0,17000.0,15500.0,10k-20k,3.0,5.0,本科,2,上海,徐汇,龙华,上海策贸科技有限公司,59.5
数据开发工程师,数据开发,14000.0,16000.0,15000.0,10k-20k,0.0,,本科,2,广州,天河,车陂,广州玲跃电子科技有限公司,59.5
python（面试快）,其他,14000.0,16000.0,15000.0,10k-20k,3.0,5.0,本科,2,上海,浦东,唐镇,深圳建广数字科技有限公司青岛分公司,10.0
大数据开发工程师,数据开发,14000.0,17000.0,15500.0,10k-20k,3.0,5.0,本科,2,上海,黄浦,半淞园路,深圳市睿服科技有限公司,5499.5
数据实施工程师,其他,14000.0,18000.0,16000.0,10k-20k,5.0,10.0,本科,2,广州,黄埔,联和,深圳市南电云商有限公司,749.5
智能体开发工程师,AI/智能体,14000.0,16000.0,15000.0,10k-20k,3.0,5.0,本科,2,广州,黄埔,联和,广州仁合时创信息技术有限公司,749.5
数据开发工程师 券商 投研 估值,数据开发,14000.0,17000.0,15500.0,10k-20k,3.0,5.0,本科,2,北京,朝阳,麦子店,中科软科技股份有限公司,5499.5
中级后端开发工程师（AI Agent 编程方向）,后端/全栈,14000.0,18000.0,16000.0,10k-20k,1.0,3.0,大专,1,上海,徐汇,虹梅路,台州拜亚进出口有限公司,749.5
大模型应用开发工程师,AI/智能体,14000.0,15000.0,14500.0,10k-20k,3.0,5.0,本科,2,广州,天河,冼村,徽通科技集团有限公司,5499.5
数据开发工程师（公募基金/保险/证券经验）,数据开发,14000.0,19000.0,16500.0,10k-20k,5.0,10.0,大专,1,北京,西城,月坛,北京神州新桥科技有限公司,5499.5
高级python工程师,其他,14000.0,15000.0,14500.0,10k-20k,5.0,10.0,本科,2,北京,朝阳,,中科软科技股份有限公司,5499.5
python开发工程师,其他,14000.0,18000.0,16000.0,10k-20k,3.0,5.0,本科,2,广州,天河,天河南,海南钦诚软件技术有限公司,5499.5
python开发（外派-短期项目）,其他,14000.0,16000.0,15000.0,10k-20k,3.0,5.0,本科,2,北京,西城,金融街,北京浩然五洲软件技术有限公司,199.5
