job_name,job_news,job_city,job_ex,job_edu,job_company,c_info,c_num,c_tag
后端工程师26062502,2.5-3.5万,北京·朝阳·望京,5-10年,硕士,华能信息技术有限公司,国企,500-999人,云计算
高级数据工程师,4.5-7.5万,北京·大兴,3-5年,本科,北京美中爱瑞肿瘤医院有限责任公司,医院,300-499人,医院/诊所服务
数据开发工程师,9000-14000元,北京·朝阳·建外,3-5年,本科,中科软科技股份有限公司,股份制企业,1000-9999人,软件/IT服务
金融API开发工程师,1.5-1.7万,北京·朝阳·建外,5-10年,本科,上海海万信息科技股份有限公司,民营,1000-9999人,软件/IT服务
大气模式工程师,1.5-2.5万,北京·顺义,1-3年,硕士,北京莱维塞尔科技有限公司,民营,100-299人,电力/水利/热力/燃气
高级python工程师（北京）,2-3万,北京·大兴·高米店,5-10年,本科,无锡北微传感科技有限公司,民营,100-299人,半导体/芯片
数据工程师,9000-12000元·15薪,北京·海淀·学院路,经验不限,本科,同方知网（北京）技术有限公司,国企,1000-9999人,软件/IT服务
数据开发工程师,1-1.2万,北京·海淀·马连洼,1-3年,本科,首聘(北京)科技有限公司,民营,1000-9999人,人力资源
数据开发工程师 券商 投研 估值,1.4-1.7万,北京·朝阳·麦子店,3-5年,本科,中科软科技股份有限公司,股份制企业,1000-9999人,软件/IT服务
大数据开发工程师,1.2-1.6万,北京·西城·西长安街,5-10年,本科,中电金信软件有限公司,国企,10000人以上,软件/IT服务
数据治理工程师,8000-9000元,北京·朝阳·望京,3-5年,本科,深圳市法本信息技术股份有限公司,上市公司,1000-9999人,软件/IT服务
数据开发工程师,1-1.2万,北京·海淀·马连洼,3-5年,本科,首聘(北京)科技有限公司,民营,1000-9999人,人力资源
python后端开发工程师,2-2.1万·14薪,北京·海淀·永定路,3-5年,本科,航天新长征大道科技有限公司北京分公司,国企,100-299人,船舶/航空/航天/军工
后端开发工程师,7000-13000元·13薪,北京·海淀,1-3年,本科,北京天银星际科技有限责任公司,股份制企业,20-99人,船舶/航空/航天/军工
Python开发工程师-赴大厂,1.7-1.9万,北京·通州·台湖,5-10年,本科,上海微创软件股份有限公司,合资,10000人以上,软件/IT服务
后端开发工程师,1.6-2.3万,北京·海淀,3-5年,本科,北京世光科技有限公司,民营,20-99人,软件/IT服务
高级python工程师,1.4-1.5万,北京·朝阳,5-10年,本科,中科软科技股份有限公司,股份制企业,1000-9999人,软件/IT服务
python开发工程师,1.6-2万,北京·通州·台湖,5-10年,本科,上海微创软件股份有限公司,合资,10000人以上,软件/IT服务
大数据开发工程师,1.2-1.5万,北京·西城·牛街,5-10年,本科,南京迈特望科技股份有限公司,股份制企业,1000-9999人,软件/IT服务
研发工程师,1.8-2.5万,北京·海淀·西三旗,1-3年,本科,北京通合智能科技有限公司,民营,20人以下,计算机硬件
python开发工程师,1.5-1.9万,北京·通州·台湖,5-10年,本科,上海微创软件股份有限公司,合资,10000人以上,软件/IT服务
数据工程师,8000-13000元,北京·昌平·城南,3-5年,本科,中电智能卡,国企,500-999人,半导体/芯片
数据开发工程师,1-1.2万,北京·海淀·马连洼,3-5年,本科,首聘(北京)科技有限公司,民营,1000-9999人,人力资源
python开发,1.6-1.9万,北京·通州·台湖,5-10年,本科,上海微创软件股份有限公司,合资,10000人以上,软件/IT服务
大数据工程师,1.2-1.5万,北京·朝阳·三里屯,3-5年,大专,西安笃定信息技术有限公司,民营,20-99人,软件/IT服务
基础中心-工程技术岗-科学数据工程师(J10541),1.5-3万,北京·海淀,经验不限,硕士,启元实验室,事业单位,1000-9999人,人工智能
